Sequential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,line1.started,line2.started,line3.started,line4.started,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,
50,c,12,2,50,2,116.9105018,,116.8995491,116.9105018,117.9109055,117.9109055,117.9109055,117.9109055,117.9109055,118.9124368,118.9124368,119.062194,c,1,0.1355902,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,12,3,51,3,119.0766536,,119.0678408,119.0766536,120.0774635,120.0774635,120.0774635,120.0774635,120.0774635,121.0768664,121.0768664,121.3630172,z,1,0.2677134,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,13,0,52,0,121.3769947,,121.3663153,121.3769947,122.3772293,122.3772293,122.3772293,122.3772293,122.3772293,123.3768479,123.3768479,123.4619313,x,1,0.0728394,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,13,1,53,1,123.476569,,123.4676669,123.476569,124.4770729,124.4770729,124.4770729,124.4770729,124.4770729,125.4768768,125.4768768,125.8467911,v,1,0.3668882,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,13,2,54,2,125.8604364,,125.8509866,125.8604364,126.8603212,126.8603212,126.8603212,126.8603212,126.8603212,127.8607039,127.8607039,128.1791523,c,1,0.309092,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,13,3,55,3,128.1936774,,128.1847541,128.1936774,129.1937797,129.1937797,129.1937797,129.1937797,129.1937797,130.1934632,130.1934632,130.3467998,z,1,0.1459591,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,14,0,56,0,130.3602669,,130.3500993,130.3602669,131.3603565,131.3603565,131.3603565,131.3603565,131.3603565,132.3603948,132.3603948,132.6614264,x,1,0.2886717,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,14,1,57,1,132.6767064,,132.6657335,132.6767064,133.6769605,133.6769605,133.6769605,133.6769605,133.6769605,134.6767249,134.6767249,134.8450331,v,1,0.1606944,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,14,2,58,2,134.8599229,,134.8485996,134.8599229,135.8607546,135.8607546,135.8607546,135.8607546,135.8607546,136.8605106,136.8605106,137.1950304,c,1,0.3210021,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,14,3,59,3,137.2100445,,137.2004096,137.2100445,138.210287,138.210287,138.210287,138.210287,138.210287,139.2100774,139.2100774,139.5118741,z,1,0.2878615,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,15,0,60,0,139.5265302,,139.5152463,139.5265302,140.5271245,140.5271245,140.5271245,140.5271245,140.5271245,141.5265615,141.5265615,141.8447964,x,1,0.3061854,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,15,1,61,1,141.8597811,,141.8497729,141.8597811,142.8603867,142.8603867,142.8603867,142.8603867,142.8603867,143.8599011,143.8599011,144.1283218,v,1,0.2579366,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,15,2,62,2,144.1433766,,144.1329929,144.1433766,145.1434685,145.1434685,145.1434685,145.1434685,145.1434685,146.1443774,146.1443774,146.4119083,c,1,0.2614898,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,15,3,63,3,146.4262985,,146.4170754,146.4262985,147.4267833,147.4267833,147.4267833,147.4267833,147.4267833,148.4266683,148.4266683,148.7287887,z,1,0.2845475,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,16,0,64,0,148.7434376,,148.7324258,148.7434376,149.7437171,149.7437171,149.7437171,149.7437171,149.7437171,150.7436164,150.7436164,151.0285132,x,1,0.2746641,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,16,1,65,1,151.0431184,,151.0325972,151.0431184,152.0435532,152.0435532,152.0435532,152.0435532,152.0435532,153.0432506,153.0432506,153.3278795,v,1,0.2692427,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,16,2,66,2,153.3428554,,153.3328738,153.3428554,154.3439976,154.3439976,154.3439976,154.3439976,154.3439976,155.3428087,155.3428087,155.661776,c,1,0.3072503,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,16,3,67,3,155.6760352,,155.6656839,155.6760352,156.6764316,156.6764316,156.6764316,156.6764316,156.6764316,157.6766065,157.6766065,158.0784423,z,1,0.3979129,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,17,0,68,0,158.0929457,,158.0845347,158.0929457,159.0931418,159.0931418,159.0931418,159.0931418,159.0931418,160.0929763,160.0929763,160.3462284,x,1,0.2502269,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,17,1,69,1,160.3594609,,160.3524172,160.3594609,161.3601641,161.3601641,161.3601641,161.3601641,161.3601641,162.3596826,162.3596826,162.5466528,v,1,0.1786736,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,17,2,70,2,162.5603282,,162.5535313,162.5603282,163.5603809,163.5603809,163.5603809,163.5603809,163.5603809,164.5596942,164.5596942,164.7440256,c,1,0.1724757,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,17,3,71,3,164.7597789,,164.7477563,164.7597789,165.7597233,165.7597233,165.7597233,165.7597233,165.7597233,166.7602113,166.7602113,167.0612336,z,1,0.2888643,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,18,0,72,0,167.0764819,,167.0698333,167.0764819,168.0762698,168.0762698,168.0762698,168.0762698,168.0762698,169.0762271,169.0762271,169.1777136,x,1,0.094752,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,18,1,73,1,169.1925796,,169.1819234,169.1925796,170.1932858,170.1932858,170.1932858,170.1932858,170.1932858,171.1927694,171.1927694,171.3455696,v,1,0.146536,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,18,2,74,2,171.359304,,171.3498172,171.359304,172.3599503,172.3599503,172.3599503,172.3599503,172.3599503,173.3596322,173.3596322,173.4615491,c,1,0.0946807,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,18,3,75,3,173.4759399,,173.4670777,173.4759399,174.4760225,174.4760225,174.4760225,174.4760225,174.4760225,175.4760079,175.4760079,175.5286577,z,1,0.0413919,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,19,0,76,0,175.5425657,,175.5334557,175.5425657,176.5427646,176.5427646,176.5427646,176.5427646,176.5427646,177.5425683,177.5425683,177.6615796,x,1,0.1037985,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,19,1,77,1,177.6756497,,177.6663342,177.6756497,178.6763141,178.6763141,178.6763141,178.6763141,178.6763141,179.6758896,179.6758896,179.7938457,v,1,0.1080376,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,19,2,78,2,179.8091165,,179.7977833,179.8091165,180.8101859,180.8101859,180.8101859,180.8101859,180.8101859,181.8094041,181.8094041,181.8951854,c,1,0.0794877,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,19,3,79,3,181.9094334,,181.8985598,181.9094334,182.9096107,182.9096107,182.9096107,182.9096107,182.9096107,183.9097632,183.9097632,184.0772993,z,1,0.1641003,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,20,0,80,0,184.0923306,,184.0821627,184.0923306,185.0933005,185.0933005,185.0933005,185.0933005,185.0933005,186.092584,186.092584,186.1121839,x,1,0.0159386,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,20,1,81,1,186.125556,,186.1175847,186.125556,187.1259346,187.1259346,187.1259346,187.1259346,187.1259346,188.1259197,188.1259197,188.4786136,v,1,0.3430915,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,20,2,82,2,188.4925411,,188.4819909,188.4925411,189.4925529,189.4925529,189.4925529,189.4925529,189.4925529,190.4923451,190.4923451,190.5934636,c,1,0.0915739,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,20,3,83,3,190.6088523,,190.5967715,190.6088523,191.6089241,191.6089241,191.6089241,191.6089241,191.6089241,192.60901,192.60901,192.9437959,z,1,0.3202919,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,21,0,84,0,192.9591341,,192.9472527,192.9591341,193.9594176,193.9594176,193.9594176,193.9594176,193.9594176,194.9590043,194.9590043,195.2439993,x,1,0.2712499,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
150,v,21,1,85,1,195.2589359,,195.2495638,195.2589359,196.2596252,196.2596252,196.2596252,196.2596252,196.2596252,197.2595463,197.2595463,197.3607448,v,1,0.0868712,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
50,c,21,2,86,2,197.3752942,,197.3659984,197.3752942,198.3761512,198.3761512,198.3761512,198.3761512,198.3761512,199.3754479,199.3754479,199.6280926,c,1,0.2395384,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-150,z,21,3,87,3,199.6421242,,199.6328093,199.6421242,200.6421766,200.6421766,200.6421766,200.6421766,200.6421766,201.6422298,201.6422298,201.6940619,z,1,0.0478201,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
-50,x,22,0,88,0,201.7090038,,201.7004909,201.7090038,202.7089777,202.7089777,202.7089777,202.7089777,202.7089777,203.7089481,203.7089481,203.9937532,x,1,0.273977,None,193869,1,2024-10-17_20h08.24.051,untitled,2024.1.5,None,2024-10-17 20h08.34.477559 +0530,,,,
