reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,6,1,43,6,134.00168159999885,,133.98737890005577,134.00168159999885,135.00162989995442,135.00162989995442,135.00162989995442,135.82013949996326,t,0.8056250000372529,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,6,2,44,5,135.834850299987,,135.8214514000574,135.834850299987,136.83500860002823,136.83500860002823,136.83500860002823,137.40359889995307,t,0.5590752999996766,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,6,3,45,0,137.41817670001183,,137.40489340003114,137.41817670001183,138.4183349000523,138.4183349000523,138.4183349000523,139.2028429999482,l,0.7790773999877274,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,6,4,46,3,139.21824720001314,,139.20374769996852,139.21824720001314,140.21823740005493,140.21823740005493,140.21823740005493,140.6700374999782,t,0.44672130001708865,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,6,5,47,2,140.68487350002397,,140.6711101999972,140.68487350002397,141.68483170005493,141.68483170005493,141.68483170005493,142.08658979996108,l,0.38902000000234693,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,6,6,48,1,142.10136960004456,,142.08814640005585,142.10136960004456,143.10130860004574,143.10130860004574,143.10130860004574,143.55355650000274,t,0.4483604000415653,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,7,0,49,4,143.56823760003317,,143.55485840002075,143.56823760003317,144.56817630003206,144.56817630003206,144.56817630003206,145.13683630002197,t,0.5646553999977186,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,7,1,50,6,145.15142020001076,,145.13798670005053,145.15142020001076,146.15156829997431,146.15156829997431,146.15156829997431,146.65336850006133,t,0.49123609997332096,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
67,75,119,7,2,51,5,146.66809349996038,,146.6544472000096,146.66809349996038,147.668165900046,147.668165900046,147.668165900046,148.20279250002932,t,0.5175700000254437,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
11,30,7,7,3,52,0,148.21811440004967,,148.20411579997744,148.21811440004967,149.21798399998806,149.21798399998806,149.21798399998806,149.92009939998388,l,0.7000474999658763,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,7,4,53,2,149.9350019999547,,149.92143530002795,149.9350019999547,150.93455320002977,150.93455320002977,150.93455320002977,151.58626320003532,l,0.6453061000211164,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,7,5,54,3,151.60141869995277,,151.5874489999842,151.60141869995277,152.60137349995784,152.60137349995784,152.60137349995784,153.85289229999762,t,1.2453813999891281,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
15,35,43,7,6,55,1,153.86806110001635,,153.85386160004418,153.86806110001635,154.8677906000521,154.8677906000521,154.8677906000521,156.13673639995977,t,1.2629092999268323,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
49,60,89,8,0,56,4,156.1511443000054,,156.13803030003328,156.1511443000054,157.1512693000259,157.1512693000259,157.1512693000259,157.7696071000537,t,0.6150956999044865,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
78,80,162,8,1,57,6,157.7860340999905,,157.77132219995838,157.7860340999905,158.7847331999801,158.7847331999801,158.80124209995847,159.25338710006326,t,0.45969250006601214,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
27,50,21,8,2,58,2,159.26804680004716,,159.25461659999564,159.26804680004716,160.26792859996203,160.26792859996203,160.26792859996203,160.8697921000421,l,0.596202899934724,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
40,55,62,8,3,59,3,160.88467259996105,,160.87084890005644,160.88467259996105,161.88456060003955,161.88456060003955,161.88456060003955,162.33628309995402,t,0.44760189997032285,None,4,001,2024-11-20_12h13.27.676,delay_discounting,2024.1.5,None,2024-11-20 12h13.39.314288 +0530,
