delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,400,unexp,10,7,127,2,531.2766924002208,,531.2634264002554,531.2766924002208,532.276608900167,532.276608900167,532.276608900167,532.312447400298,space,0.023742999881505966,None,532.3134893001989,533.02642126667,533.3392426003702,533.3242574003525,533.3243090002798,533.3392426003702,533.3392426003702,533.3392426003702,535.2460162001662,400,1,[1.9184947996400297],[1.9185089999809861],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,10,8,128,8,535.259799499996,,535.247316500172,535.259799499996,536.2595286001451,536.2595286001451,536.2595286001451,536.3467553001828,space,None,None,536.348228300456,537.0598242669987,537.3695981004275,537.354422500357,537.3544762004167,537.3695981004275,537.3695981004275,537.3695981004275,539.3448712001555,500,1,[1.987928000278771],[1.9879395002499223],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,10,9,129,3,539.3594806003384,,539.3462554002181,539.3594806003384,540.3598486003466,540.3598486003466,540.3598486003466,540.6943908003159,space,0.32213550014421344,None,540.6949616000056,540.8094888670059,,541.0537450001575,541.053817700129,541.0690365000628,541.0690365000628,541.0690365000628,543.8946258001961,600,1,[2.8384184003807604],[2.83842910034582],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,400,unexp,10,10,130,0,543.9096542000771,,543.8959319000132,543.9096542000771,544.909799200017,544.909799200017,544.909799200017,545.3614229001105,space,0.43834999995306134,None,545.3623099001125,545.4762094668733,545.8111537001096,545.7963924002834,545.7964370003901,545.8111537001096,545.8111537001096,545.8111537001096,547.9112546001561,300,1,[2.1124867000617087],[2.112499199807644],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,10,11,131,6,547.9263935000636,,547.9125898000784,547.9263935000636,548.9262072001584,548.9262072001584,548.9262072001584,549.3444022000767,space,0.40213790023699403,None,549.3451889003627,549.4596767668302,549.7716190000065,549.7544357003644,549.7544880001806,549.7716190000065,549.7716190000065,549.7716190000065,551.0279118004255,600,1,[1.2705537998117507],[1.270567299798131],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,11,0,132,6,551.0427874000743,,551.0291948001832,551.0427874000743,552.0432685003616,552.0432685003616,552.0432685003616,552.1785715003498,space,0.12447910010814667,None,552.1794482003897,552.2927329671259,552.5992449000478,552.5835571000353,552.5836067004129,552.5992449000478,552.5992449000478,552.5992449000478,554.1448328001425,100,1,[1.5585594000294805],[1.5585704003460705],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.4,400,unexp,11,1,133,1,554.159845800139,,554.1468332000077,554.159845800139,555.1598621001467,555.1598621001467,555.1598621001467,555.4796515000053,space,0.31744319992139935,None,555.480550000444,555.8924611667792,556.2034940002486,556.1883258000016,556.1883698003367,556.2034940002486,556.2034940002486,556.2034940002486,557.396565400064,300,1,[1.2051785001531243],[1.2051959000527859],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.1,1000,exp,11,2,134,9,557.4098176001571,,557.3978868001141,557.4098176001571,558.409498100169,558.409498100169,558.409498100169,558.9282075003721,space,0.5140968998894095,None,558.9290877003223,559.0409190669345,559.3489451003261,559.3336801002733,559.3337278002873,559.3489451003261,559.3489451003261,559.3489451003261,561.1619045003317,100,1,[1.8254677997902036],[1.8254824997857213],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,1000,exp,11,3,135,8,561.1760807000101,,561.1634643003345,561.1760807000101,562.1763668004423,562.1763668004423,562.1763668004423,562.4115186003037,space,0.22284350031986833,None,562.4125334001146,563.1258437666731,563.4263305002823,563.4104251000099,563.4104623002931,563.4263305002823,563.4263305002823,563.4263305002823,564.978054900188,700,1,[1.5651300000026822],[1.565142699982971],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
0.7,400,unexp,11,4,136,2,564.9927685000002,,564.9794741002843,564.9927685000002,565.9927372001112,565.9927372001112,565.9927372001112,566.3451900002547,space,0.34736720006912947,None,566.3460286003537,567.0571559668208,567.4239632003009,567.4008780000731,567.400961600244,567.4239632003009,567.4239632003009,567.4239632003009,569.3605729001574,400 ,1,[1.9566116998903453],[1.9566289000213146],1,001,2024-11-13_23h12.02.220,intentional_binding,2024.1.5,None,2024-11-13 23h12.14.890244 +0530,
